,Date,date_dt,location,count,month_day,year,month,location_name
53,2013-02-23 00:00:00,2013-02-23,1^ALEX,1.0,02-23,2013,2,Alexandra Bridge
54,2013-02-24 00:00:00,2013-02-24,1^ALEX,1.0,02-24,2013,2,Alexandra Bridge
55,2013-02-25 00:00:00,2013-02-25,1^ALEX,4.0,02-25,2013,2,Alexandra Bridge
56,2013-02-26 00:00:00,2013-02-26,1^ALEX,4.0,02-26,2013,2,Alexandra Bridge
57,2013-02-27 00:00:00,2013-02-27,1^ALEX,8.0,02-27,2013,2,Alexandra Bridge
58,2013-02-28 00:00:00,2013-02-28,1^ALEX,0.0,02-28,2013,2,Alexandra Bridge
59,2013-03-01 00:00:00,2013-03-01,1^ALEX,0.0,03-01,2013,3,Alexandra Bridge
60,2013-03-02 00:00:00,2013-03-02,1^ALEX,0.0,03-02,2013,3,Alexandra Bridge
61,2013-03-03 00:00:00,2013-03-03,1^ALEX,0.0,03-03,2013,3,Alexandra Bridge
62,2013-03-04 00:00:00,2013-03-04,1^ALEX,0.0,03-04,2013,3,Alexandra Bridge
63,2013-03-05 00:00:00,2013-03-05,1^ALEX,5.0,03-05,2013,3,Alexandra Bridge
64,2013-03-06 00:00:00,2013-03-06,1^ALEX,7.0,03-06,2013,3,Alexandra Bridge
65,2013-03-07 00:00:00,2013-03-07,1^ALEX,4.0,03-07,2013,3,Alexandra Bridge
66,2013-03-08 00:00:00,2013-03-08,1^ALEX,17.0,03-08,2013,3,Alexandra Bridge
67,2013-03-09 00:00:00,2013-03-09,1^ALEX,27.0,03-09,2013,3,Alexandra Bridge
68,2013-03-10 00:00:00,2013-03-10,1^ALEX,9.0,03-10,2013,3,Alexandra Bridge
69,2013-03-11 00:00:00,2013-03-11,1^ALEX,24.0,03-11,2013,3,Alexandra Bridge
70,2013-03-12 00:00:00,2013-03-12,1^ALEX,14.0,03-12,2013,3,Alexandra Bridge
71,2013-03-13 00:00:00,2013-03-13,1^ALEX,23.0,03-13,2013,3,Alexandra Bridge
72,2013-03-14 00:00:00,2013-03-14,1^ALEX,22.0,03-14,2013,3,Alexandra Bridge
73,2013-03-15 00:00:00,2013-03-15,1^ALEX,10.0,03-15,2013,3,Alexandra Bridge
74,2013-03-16 00:00:00,2013-03-16,1^ALEX,3.0,03-16,2013,3,Alexandra Bridge
75,2013-03-17 00:00:00,2013-03-17,1^ALEX,26.0,03-17,2013,3,Alexandra Bridge
76,2013-03-18 00:00:00,2013-03-18,1^ALEX,23.0,03-18,2013,3,Alexandra Bridge
77,2013-03-19 00:00:00,2013-03-19,1^ALEX,0.0,03-19,2013,3,Alexandra Bridge
78,2013-03-20 00:00:00,2013-03-20,1^ALEX,0.0,03-20,2013,3,Alexandra Bridge
79,2013-03-21 00:00:00,2013-03-21,1^ALEX,0.0,03-21,2013,3,Alexandra Bridge
80,2013-03-22 00:00:00,2013-03-22,1^ALEX,1.0,03-22,2013,3,Alexandra Bridge
